Date,Close/Last,Volume,Open,High,Low
12/23/2016,$120.9,101933,$120.78,$121.105,$120.775
12/22/2016,$120.66,104708,$120.7,$120.9,$120.47
12/21/2016,$121.11,87468,$121.35,$121.44,$121
12/20/2016,$121.67,257857,$121.36,$122.06,$121.25
12/19/2016,$121.84,171917,$121.32,$122.23,$121.24
12/16/2016,$121,203822,$120.87,$121.45,$120.71
12/15/2016,$121.98,211130,$121.92,$122.21,$121.7
12/14/2016,$121.06,161229,$121.95,$122.45,$120.98
12/13/2016,$123.07,201881,$122.22,$123.18,$122.17
12/12/2016,$121.86,245688,$121.8,$122.45,$121.39
12/09/2016,$122.98,292173,$122.81,$123.15,$122.61
12/08/2016,$122.81,430986,$123.05,$123.175,$122.54
12/07/2016,$121.46,303712,$119.63,$121.77,$119.63
12/06/2016,$117.88,133928,$117.44,$117.92,$117.2
12/05/2016,$117.56,156932,$117.34,$118.08,$117.3004
12/02/2016,$116.83,190881,$116.97,$117.29,$116.7
12/01/2016,$117.77,260657,$117.69,$118.71,$117.5
11/30/2016,$118.53,231619,$118.63,$118.81,$118.25
11/29/2016,$118.3,190951,$118.15,$118.568,$117.94
11/28/2016,$117.65,174713,$117.97,$117.97,$117.41
11/25/2016,$117.8,191757,$117.7,$118.15,$117.41
11/23/2016,$114.51,270600,$113.46,$114.86,$113.365
11/22/2016,$113.78,153201,$113.71,$113.87,$113.25
11/21/2016,$114.51,218349,$114.22,$114.67,$114.13
11/18/2016,$114.04,235545,$114.06,$114.43,$113.9201
11/17/2016,$113.24,201221,$113,$113.24,$112.36
11/16/2016,$112.57,225097,$112.64,$112.88,$112.37
11/15/2016,$112.49,141996,$111.98,$112.49,$111.81
11/14/2016,$111.78,226733,$111.83,$112.43,$111.51
11/11/2016,$111.95,158576,$111.45,$112.05,$111.37
11/10/2016,$110.86,371899,$110.93,$111.4,$109.9408
11/09/2016,$111.81,567577,$110.35,$112.779,$110.35
11/08/2016,$113.81,228960,$113,$115.4,$112.62
11/07/2016,$112.48,354399,$111.62,$112.55,$111.49
11/04/2016,$110.56,321377,$110.53,$111.2,$110.24
11/03/2016,$113.17,320412,$113.79,$114.175,$112.939
11/02/2016,$113.38,227341,$114.14,$114.67,$113.13
11/01/2016,$114.73,307298,$115.76,$115.76,$114.18
10/31/2016,$115.66,135011,$115.51,$115.79,$115.4
10/28/2016,$114.81,140471,$114.84,$115.14,$114.41
10/27/2016,$114.85,216086,$115.39,$115.5,$114.81
10/26/2016,$115.5,211167,$114.93,$115.7,$114.75
10/25/2016,$115.25,159941,$115.43,$115.75,$115.24
10/24/2016,$115.45,141251,$115.13,$115.52,$115.025
10/21/2016,$115.27,174701,$114.86,$115.36,$114.61
10/20/2016,$116.14,161558,$115.88,$116.32,$115.63
10/19/2016,$114.89,112605,$115.13,$115.38,$114.89
10/18/2016,$115.05,188104,$115.52,$115.52,$114.83
10/17/2016,$115.43,163942,$115.18,$115.84,$115.08
10/14/2016,$115.09,156786,$115.32,$115.83,$115.05
10/13/2016,$114.69,231657,$114.53,$115.2,$114.09
10/12/2016,$115.15,157721,$115,$115.35,$114.64
10/11/2016,$115.32,224603,$115.8,$115.8,$115.02
10/10/2016,$116.42,165176,$116.13,$116.83,$116.06
